Species,state
Pachydactylus.weberi.AMB4802,1
Pachydactylus.vanzlyi.jv1761,1
Paradelma.orientalis.BJ4,0
Paragehyra.gabriellae.FGZC2366,1
Paroedura.masobe.JFBM,1
Paroedura.picta.2001.B1,1
Perochirus.ateles.Dmale,1
Phelsuma.borbonica.JB95,1
Phelsuma.laticauda.TG00232,1
Phelsuma.rosagularis.JB109,1
Phelsuma.madagascarensis.2002.797,1
Phelsuma.modesta.FGZC56,1
Phelsuma.ocellata.AMB3860,1
Phyllodactylus.boardi.AMCC118242,1
Phyllodactylus.bugastolepis.ROM38489,1
Phyllodactylus.delcampoi.JAC21928,1
Phyllodactylus.homolepidurus.MVZ236267,1
Phyllodactylus.nocticolus.ROM39005,1
Phyllodactylus.reissii.YPM12934,1
Phyllodactylus.tuberculosus.KU289758,1
Phyllodactylus.unctus.ROM39002,1
Phyllodactylus.wirshingii.TG722,1
Phyllodactylus.xanti.ROM38490,1
Phyllopezus.maranjonensis.ZFMK84996,1
Phyllopezus.pollicaris.MZUSP92491,1
Phyllurus.platurus.AMB42,0
Pletholax.gracilis.BJ6,0
Pristurus.carteri.JFBM,0
Pseudogekko.smaragdina.RMB5598,1
Pseudogonatodes.guianensis.KU222142,0
Pseudothecadactylus.linderi.AMB84,1
Ptenopus.carpi.AMB6277,0
Ptychozoon.kuhli.RMB1134,1
Ptychozoon.lionatum.CAS221163,1
Ptyodactylus.guttatus.JFBM,1
Ptyodactylus.hasselquisti.YPM13609,1
Pygopus.lepidopodus.BJ2,0
Pygopus.nigriceps.AMB53,0
Quedenfeldtia.moerens.JB77,0
Quedenfeldtia.trachyblephara.MVZ178121,0
Rhacodactylus.ciliatus.JFBM,1
Rhacodactylus.leachianus.AMB7189,1
Rhoptropus.afer.AMB7138,1
Rhoptropus.boultoni.AMB6485,1
Rhoptropus.diporus.AMB7553,1
Rhynchoedura.ornata.AMS155371,1
Saltuarius.cornutus.AMS143262,0
Saurodactylus.brosseti.JFBM,0
Saurodactylus.fasciatus.7616,0
Saurodactylus.mauritainicus.Sm61,0
Sphaerodactylus.argus.TG00125,1
Sphaerodactylus.elegans.HERR014795,1
Sphaerodactylus.glaucus.JAC24229,1
Sphaerodactylus.nicholsi.TG00211,1
Sphaerodactylus.nigropunctatus.FLMNH144010,1
Sphaerodactylus.roosevelti.AMB4167,1
Sphaerodactylus.torrei.JB34,1
Stenodactylus.sthenodactylus.JFBM,0
Strophurus.aberrans.AMS136023,1
Strophurus.elderi.AMS130987,1
Strophurus.strophurus.AMS140536,1
Tarentola.americana.MVZ,1
Tarentola.chazaliae.JFBM,1
Tarentola.delandii.JB43,1
Tarentola.deserti.JB44,1
Tarentola.fasciolarus.JB29,1
Tarentola.mauritanica.JFBM,1
Tenuidactylus.sp.FMNH256409,0
Teratolepis.fasciata.JFBM,1
Teratoscincus.microlepis.JFBM,0
Teratoscincus.przewalskii.TG00233,0
Teratoscincus.roborowskii.JFBM,0
Teratoscincus.scincus.CAS228808,0
Teratoscincus.scincus.Turk.JFBM,0
Thecadactylus.rapicauda.ENS7108,1
Thecadactylus.rapicauda.USNM561446,1
Thecadactylus.sp.JB25,1
Thecadactylus.sp.KU214929,1
Tropiocolotes.helenae.JB27,0
Tropiocolotes.tripilotanus.FMNH262276,0
Urocotyledon.inexpectatus.MCZF38723,1
Uroplatus.giganteus.ZCMV864,1
Uroplatus.guentheri.2001.C21,1
Uroplatus.henkeli.JFBM,1
Uroplatus.phantasticus.2002.640,1
Trachydosaurus.rugosus.JFBM,0
