Iteration	Posterior	Likelihood	Prior	age_extant	age_Kretzoiarctos_beatrix	alpha_cytb	alpha_morpho	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	clock_morpho	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	F[14]	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	turnover
1000	-4133.53	-4149.18	15.6484	26.70891	11.67381	0.1394389	1.453317	0.0011683	0.0335467	0.0237723	0.0103038	0.0161042	0.00678597	0.0092351	0.00546991	0.0164719	0.00590816	0.0116852	0.0229926	0.0197647	0.0198188	0.0037951	0.00151732	0.00235926	0.00200374	0.0312392	0.00696388	0.0130865	0.0348775	0.0127569	0.0234586	0.0121564	0.0387517	0.00952574	0.0124486	0.0115069	0.004363	0.0140199	0.0108244	0.0169412	0.00744768	0.0163321	0.0773641	0.0203052	0.0239376	0.0165504	0.109946	0.00505797	0.00408583	0.01848577	0.02553897	0.03370074	0.00440711	0.552185	0.0033899	0.0139416	0.42112	0.00495677	0.3616862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	45.07259	0.03836585	2.64005e-05	0.00760114	0.209789	3.78258	0.21802	0.580597	1.04756	2.15382	0.283521	0.322588	0.130229	0.263661	0.395387	14.778	2.15985	8.32061	8.38498	37.1917	11.6738	0.246601	5.01348	22.3887	6.61498	7.76647	8.03526	22.5049	16.854	0.9147652
1100	-4136.01	-4144.05	8.04154	18.45858	11.79936	0.1670357	1.161581	0.0143663	0.0320982	0.0381071	0.040351	0.061753	0.00750266	0.0107674	0.00674823	0.0159693	0.00811968	0.0270208	0.0242234	0.0354285	0.0284671	0.0512733	0.133314	0.00826138	0.0189466	0.0271715	0.0304371	0.0327569	0.0352855	0.019796	0.0723239	0.00159355	0.00235597	0.0135027	0.0106569	0.0113592	0.00806685	0.0502385	0.019668	0.00401455	0.0091354	0.00147533	0.0472834	0.0617904	0.0102061	0.0187502	0.0100752	0.0507644	0.022685	0.0278178	0.04990618	0.05884285	0.0083727	0.540304	0.0132171	0.00324936	0.4248	0.0100571	0.2162902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	43.0315	0.04819871	0.000135888	0.017178	0.292413	3.69027	0.168022	0.520459	1.02235	2.28917	0.300413	0.293631	0.13311	0.272845	0.275133	13.6951	1.99233	9.44703	8.55885	37.1611	11.7994	0.0560616	5.29761	20.1318	7.23978	8.98849	7.36459	22.2666	16.8982	0.7861295
1200	-4120.53	-4148.53	27.9926	36.8815	11.79179	0.1615961	1.722059	0.0273886	0.00761221	0.0339952	0.00733597	0.0170932	0.00906938	0.00769429	0.00734153	0.0116448	0.004981	0.0188327	0.00987268	0.00504455	0.0215691	0.0383684	0.0110364	0.0224536	0.0036818	0.013216	0.00470198	0.0257715	0.0134127	0.00216584	0.0137653	0.00363176	0.00635887	0.0160384	0.00454489	0.117318	0.0110985	0.0210678	0.0110945	0.00860596	0.0252524	0.000820729	0.0282914	0.00557852	0.0150119	0.00470074	0.0224102	0.00440075	0.0151523	0.01325752	0.02922018	-0.02235409	0.0183621	0.468594	0.0023205	0.00106997	0.502123	0.0075309	0.2431978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	38.80337	0.05316657	0.000102848	0.0149568	0.27646	3.70848	0.257679	0.62178	1.06118	2.05936	0.289034	0.32179	0.141274	0.247903	0.2208437	15.9638	2.44331	9.63656	7.90389	37.1415	11.7918	0.235256	5.2964	22.7046	7.74276	8.14209	8.09384	16.8505	16.8911	1.101221
1300	-4107.5	-4143.84	36.3384	31.29911	11.78868	0.1621865	0.277189	0.00148518	0.0220597	0.00839996	0.0289656	0.0053159	0.00836564	0.00980974	0.00599529	0.00990363	0.00417027	0.0105548	0.0123364	0.0381932	0.0148113	0.00665827	0.00954458	0.0350336	0.0265754	0.0117559	0.00914784	0.0135362	0.0146444	0.00866262	0.00371587	0.0273166	0.0288015	0.00485367	0.0349163	0.00972403	0.00488508	0.0214825	0.0210066	0.00991205	0.0219191	0.00176454	0.0322043	0.00345583	0.0362995	0.0180182	0.00439262	0.00975406	0.0138713	0.01130896	0.01839968	0.04927438	0.00959931	0.579882	0.00610538	0.00680955	0.390805	0.00679902	0.07060906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	41.05418	0.06004942	0.000106101	0.0151902	0.278201	3.7065	0.00362774	0.0869129	0.55543	3.35403	0.297366	0.309007	0.122347	0.27128	0.1198834	15.8702	1.84238	9.64823	7.85992	35.6046	11.7887	0.145755	5.2185	22.7937	7.4408	6.34686	7.97323	22.2407	16.8911	0.5889809
1400	-4125.5	-4146.93	21.4323	33.49955	11.79304	0.1811309	1.348367	0.0109414	0.0566465	0.0234352	0.00898285	0.00261978	0.00703728	0.00750981	0.00756899	0.0256934	0.00610191	0.0104041	0.00935989	0.00050187	0.0415994	0.0292273	0.0486199	0.0040014	0.0608059	0.0188873	0.00949225	0.10875	0.0026868	0.00527568	0.0300271	0.0269251	0.00406781	0.0211923	0.0143294	0.00581108	0.000830919	0.0158813	0.0044614	0.00443342	0.00681899	0.00404525	0.0289988	0.0341476	0.0115766	0.022098	0.0111818	0.00924485	0.00668814	0.01759429	0.03586794	0.04559419	0.00498118	0.531282	0.00969755	0.00848653	0.442605	0.00294727	0.1527081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	39.40828	0.06598871	0.000258696	0.023648	0.332653	3.64344	0.20092	0.561204	1.04012	2.19776	0.313218	0.291175	0.12528	0.270327	0.1983023	13.6747	2.54414	9.45729	8.10252	37.079	11.793	0.145755	5.18362	22.7937	6.1032	7.91289	8.06596	22.0874	16.8648	0.7700773
1500	-4112.57	-4142.4	29.8276	24.59412	11.76747	0.1825013	0.5563031	0.0567197	0.0111234	0.00776899	0.0126594	0.00478035	0.00223551	0.015555	0.00542105	0.0152656	0.00635071	0.00917179	0.0136717	0.0018148	0.0178474	0.0234706	0.0138609	0.00380521	0.00916865	0.0174891	0.0220912	0.0128841	0.0127391	0.0022386	0.0111382	0.00210386	0.00144916	0.0195596	0.0122195	0.0181104	0.0056315	0.0169778	0.0110355	0.0160376	0.00044341	0.018204	0.0642175	0.011135	0.0116481	0.0306849	0.0135646	0.000622533	0.0248101	0.01699204	0.03124117	0.04377093	0.0126886	0.505629	0.00606052	0.00745701	0.46253	0.00563492	0.0895543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	40.98034	0.03967057	0.000273946	0.0243295	0.336472	3.63892	0.0442399	0.287092	0.857276	2.81139	0.301383	0.303104	0.123594	0.271919	0.1333252	15.3487	0.480633	9.38481	8.261	37.0602	11.7675	0.145755	5.27861	20.8407	7.5887	6.82569	8.19419	19.794	16.8995	0.6716981
1600	-4130.21	-4141.45	11.2356	25.96184	11.34209	0.1881761	2.414396	0.040346	0.0318943	0.0104423	0.00951324	0.0134133	0.0475192	0.00830687	0.00972162	0.0126339	0.00456031	0.0126858	0.0201078	0.0314066	0.0237406	0.0119542	0.0131757	0.0204556	0.0126717	0.0187815	0.0294826	0.0338172	0.0493283	0.0180373	0.0592036	0.000976364	0.0162959	0.00948857	0.0104943	0.000885966	0.00464517	0.0187992	0.0299039	0.00529276	0.0494637	0.062525	0.0262272	0.0373419	0.00179009	0.0118856	0.00135656	0.00607844	0.00355148	0.02131821	0.03415453	0.02042341	0.0121002	0.487482	0.0049422	0.00727382	0.481055	0.00714634	0.2290026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	38.13484	0.08058278	0.000344197	0.0272448	0.352101	3.62031	0.338188	0.692904	1.07759	1.89132	0.293208	0.302014	0.136806	0.267972	0.249426	14.8627	0.291115	9.24993	8.38448	37.1993	11.3421	0.145755	3.59952	21.3563	6.76159	9.54356	7.17238	22.1621	16.4839	0.9181184
1700	-4123.39	-4147.06	23.672	18.30751	11.76278	0.1721952	1.372672	0.00546592	0.0181907	0.0272654	0.000296111	0.00757846	0.00259606	0.0112754	0.00779771	0.0218446	0.0197099	0.0187964	0.0216424	0.00737657	0.0362291	0.00157917	0.00606994	0.00881147	0.000621623	0.0129406	0.0312577	0.00477475	0.0798021	0.0388122	0.0163557	0.0514225	0.0103068	0.00297261	0.0340205	0.027625	0.00335572	0.0112738	0.00311534	0.0108119	0.00870219	0.0191955	0.0515652	0.00267343	0.00721856	0.0331417	0.0410048	0.0328845	0.00738499	0.01654868	0.03916763	-0.003546541	0.00875527	0.462322	0.0118762	0.00598038	0.508778	0.00228759	0.2752363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	38.31079	0.05243158	0.000174123	0.0194294	0.307337	3.67306	0.204966	0.565893	1.04198	2.18716	0.31546	0.288597	0.138218	0.257724	0.2716898	13.6658	1.91091	9.69351	7.76252	35.5987	11.7628	0.13163	3.39548	22.3854	7.63032	9.35013	6.00208	16.9656	16.7847	1.013054
1800	-4127.21	-4148.1	20.8929	14.98959	11.64995	0.1902429	0.446405	0.0135787	0.0541845	0.070018	0.0016867	0.027527	0.0463737	0.0278899	0.000835353	0.0290322	0.00760892	0.0306933	0.0340045	0.0557797	0.0486558	0.00503415	0.0249221	0.000162128	0.0329198	0.0373676	0.0155523	0.00852313	0.00115701	0.0165884	0.00314444	0.0112273	0.0771321	0.00472216	0.0038083	0.0629341	0.00663161	0.0508697	0.0321866	0.0186281	0.00210082	0.0194905	0.0365968	0.0385108	0.0160195	0.017166	0.0604803	0.0137583	0.0152387	0.02822278	0.02799931	0.04886945	0.00701548	0.520188	0.00857582	0.0117669	0.451557	0.000896551	0.1146635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	38.50527	0.1246936	0.000372772	0.0283431	0.357717	3.61357	0.0239384	0.215496	0.776983	2.98358	0.298616	0.292865	0.134927	0.273592	0.163533	15.9054	2.45846	8.94015	8.01419	37.1885	11.6499	0.0666304	4.84056	20.0243	7.69528	5.51532	6.20291	17.2069	16.6666	0.7011646
1900	-4136.2	-4148.08	11.881	19.98226	11.65314	0.1843937	0.4107357	0.0969042	0.0172414	0.107193	0.0148001	0.00810429	0.0193385	0.0178351	0.00881218	0.0321436	0.0155026	0.0370388	0.0264616	0.009757	0.0418487	0.0147649	0.0236301	0.0279284	0.0534781	0.0274875	0.0264684	0.0498366	0.0439007	3.99222e-05	0.0496189	0.028866	0.000589035	0.0503271	0.0247951	0.0345341	0.00523462	0.0776351	0.0208905	0.0227916	0.0537502	0.0357787	0.0252438	0.0416336	0.072564	0.0743868	0.0513154	0.0255339	0.00739378	0.02699884	0.05938332	0.06318707	0.0112526	0.535256	0.00118103	0.00590468	0.429932	0.0164741	0.1378938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	40.77205	0.1050095	0.000296079	0.0252851	0.341718	3.6327	0.0182932	0.189729	0.742641	3.04934	0.30066	0.289683	0.139895	0.269762	0.2010809	15.9528	2.02647	9.69058	8.49646	37.0443	11.6531	0.247683	5.26087	22.1353	7.53212	9.68	8.0714	22.6292	16.7941	0.685763
