Iteration	Posterior	Likelihood	Prior	age_extant	age_Kretzoiarctos_beatrix	alpha_cytb	alpha_morpho	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	clock_morpho	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	F[14]	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	turnover
2000	-4157.64	-4157.46	-0.182374	21.18514	11.72644	0.1517852	1.461626	0.0384513	0.0216103	0.00940339	0.0304057	0.064897	0.0250803	0.0192262	0.00835361	0.0191366	0.00850074	0.0254336	0.025933	0.00930521	0.0293907	0.0373908	0.101864	0.00101511	0.0108978	0.0277204	0.0077635	0.00718496	0.0477744	0.00256204	0.0064127	0.0612041	0.0407515	0.0171722	0.0377935	0.0129179	0.00280471	0.0248088	0.0195724	0.0271905	0.0599586	0.0667065	0.0201806	0.0992281	0.0560073	0.0138979	0.0056651	0.0107991	0.0297324	0.02610864	0.0383806	0.09148226	0.00685168	0.592451	3.83692e-05	0.000811302	0.378879	0.020969	0.1175905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	45.9904	0.06113324	5.91574e-05	0.0113595	0.247204	3.74138	0.219333	0.582042	1.04809	2.15054	0.303445	0.310251	0.116888	0.269416	0.2090728	15.454	2.16242	5.09048	8.17434	36.1241	11.7264	0.155872	2.39407	22.6922	6.64393	9.06524	8.1941	22.4016	16.817	0.5624383
2100	-4121.13	-4151.5	30.3686	40.05097	11.76211	0.1501533	1.803411	0.001807	0.0166284	0.00196499	0.0154965	0.00331878	0.0552427	0.020042	0.00569653	0.0145162	0.00853181	0.0176338	0.0141654	0.0443065	0.0343002	0.0101131	0.00521834	0.0199759	0.00617393	0.0139119	0.00906608	0.00583453	0.0358395	0.00971935	0.00253908	0.0351872	0.00985892	0.00346678	0.0164192	0.0288671	0.0024006	0.019765	0.00499965	0.00758294	0.0142835	0.00383314	0.0280709	0.0132545	0.00746626	0.0101751	0.016622	0.00746731	0.0151169	0.01207974	0.02947017	-0.0240577	0.00742449	0.545127	3.90795e-05	0.00607404	0.416371	0.0249643	0.1476725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	40.31996	0.08508422	5.35806e-05	0.0108133	0.242289	3.74684	0.268622	0.632336	1.06419	2.03485	0.307469	0.305181	0.11268	0.27467	0.1236148	15.8959	2.02919	9.57677	8.13144	37.1773	11.7621	0.172253	5.04832	20.7738	5.99782	6.95175	8.11761	21.5036	16.8409	1.194618
2200	-4116.85	-4148.16	31.3128	37.65367	11.75295	0.1732679	1.340947	0.0289256	0.0223667	0.0038246	0.0189338	0.0239147	0.022649	0.0175438	0.0064788	0.0199647	0.00665251	0.0331236	0.0113086	0.00111723	0.0314403	0.0118024	0.001142	0.0103102	0.00414176	0.0172001	0.0108323	0.00355369	0.0168915	0.0232672	0.0161908	0.00839488	0.0257697	0.00305284	0.00355739	0.00901219	0.00492097	0.0266294	0.0104137	0.00375666	0.00826237	0.0022883	0.02052	0.00152429	0.00454043	0.00570635	0.0333012	0.00508183	0.0102368	0.01203545	0.02486054	0.05374363	0.0111677	0.486617	0.00137107	0.00719824	0.475953	0.0176931	0.210098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	42.66393	0.02306638	0.000182993	0.0199148	0.310412	3.66949	0.199674	0.559747	1.03953	2.20104	0.328175	0.263716	0.132775	0.275334	0.2638416	15.4903	2.41928	9.69393	8.33862	37.0543	11.753	0.176159	5.23851	22.252	7.11605	7.479	8.11369	19.1465	16.7609	0.7963034
2300	-4130.2	-4142.89	12.6983	25.5235	11.71315	0.1555392	2.280191	0.0353768	0.0115023	0.0537441	0.0399073	0.00159906	0.0232891	0.00963785	0.00608685	0.033307	0.00986596	0.0202917	0.0217766	0.00568161	0.0519528	0.0335728	0.0565012	0.00801911	0.00217291	0.0137869	0.000454421	0.00293122	0.000215836	0.0564945	0.0481779	0.000947728	0.0245104	0.00234134	0.0250521	0.0396995	0.00635044	0.0269017	0.00565887	0.00749595	0.00485312	0.00321796	0.0342851	0.00919638	0.0125268	0.0225562	0.0493388	0.0136213	0.00488565	0.02611589	0.0319085	0.004700699	0.0132308	0.473883	0.0090605	0.00421879	0.497653	0.00195459	0.1646856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	42.16081	0.07013404	7.37059e-05	0.0126729	0.258464	3.72879	0.324574	0.681845	1.07565	1.91794	0.316969	0.293816	0.136792	0.252424	0.1693863	15.3633	2.17493	9.68838	8.69998	37.1225	11.7132	0.142953	1.86861	22.6753	6.56179	7.06479	6.81579	18.4354	16.851	0.9722487
2400	-4126.71	-4152.17	25.4611	20.68536	11.77981	0.1952932	0.8246653	0.0363007	0.0213547	0.00417714	0.0210425	0.0258184	0.0299599	0.00709954	0.0096026	0.0183342	0.00788319	0.0179695	0.0124849	0.00840025	0.0338057	0.016618	0.0114085	0.0232706	0.0130785	0.032764	0.0367068	0.00661698	0.00410718	0.0296266	0.00229818	0.00473587	0.0087169	0.0141095	0.0134136	0.0269995	0.00734114	0.0815307	0.00228668	0.0156286	0.0147903	0.00176408	0.0599593	0.0308584	0.0138334	0.0386109	0.062321	0.0368482	0.0126666	0.02366635	0.04006944	-0.04178211	0.0174297	0.563843	0.00472427	0.00236186	0.402512	0.00912875	0.2421705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	40.28616	0.06702641	0.00044976	0.031105	0.371262	3.59718	0.100795	0.416878	0.963562	2.51876	0.280929	0.292488	0.13776	0.288822	0.2003884	15.9647	1.62155	9.69811	8.69543	37.181	11.7798	0.176405	4.95519	21.5979	7.53458	9.02866	6.14104	22.0227	16.8933	1.208506
2500	-4129.47	-4145.57	16.0976	16.07225	11.79549	0.1873337	0.6246892	0.00432891	0.04644	0.0367684	0.027265	0.0350278	0.00215156	0.0111168	0.013497	0.0374885	0.00726634	0.0249899	0.0231033	0.0280119	0.0507508	0.0347696	0.00939135	0.0211774	0.0382662	0.03428	0.0106916	0.0787655	0.00488359	0.0407578	0.00431326	0.00797324	0.026344	0.0318369	0.0119578	0.106951	0.00879594	0.037114	0.00756177	0.0358421	0.0110806	0.00167898	0.0227918	0.0651964	0.0378304	0.0176995	0.0409819	0.00480164	0.0841577	0.02454522	0.02960008	0.0519253	0.00977519	0.487427	0.00784584	0.00388872	0.47951	0.0115532	0.1521551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	37.62621	0.06571121	0.00033302	0.0268027	0.3498	3.62306	0.0582368	0.32572	0.89341	2.72263	0.325233	0.30611	0.122637	0.246019	0.2040804	15.8901	1.10821	9.66342	8.57177	37.1987	11.7955	0.213296	5.28503	21.6027	7.60556	5.71827	7.35786	22.7883	16.7502	0.7455645
2600	-4134.97	-4157.78	22.8146	16.13115	11.79919	0.1553052	1.300687	0.0428366	0.000912995	0.00345524	0.0107409	0.0179253	0.00293539	0.0192767	0.011789	0.0304376	0.0160404	0.0371531	0.0255251	0.00575496	0.0477464	0.0485947	0.0580503	0.0159687	0.0283005	0.0247601	0.014734	0.0437167	0.0907157	0.0153874	0.0154918	0.0138109	0.0258007	0.032049	0.0069785	0.00700165	0.0257467	0.04571	0.0302857	0.00553165	0.00459614	0.00101034	0.0490418	0.0829371	0.031724	0.0666164	0.0124415	0.0853829	0.00211549	0.02653772	0.02895744	0.04097345	0.00902385	0.582161	0.00880307	0.00251317	0.384166	0.0133329	0.07968198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	38.18536	0.09612278	7.27251e-05	0.0125887	0.257764	3.72957	0.192827	0.551628	1.03621	2.21934	0.302502	0.289289	0.129085	0.279124	0.1206554	15.9336	0.574143	6.4916	8.6808	36.4906	11.7992	0.217909	4.97974	22.1747	7.72722	9.69205	7.6439	21.9845	16.6665	0.6604094
2700	-4114.75	-4145.87	31.1177	17.62675	11.20757	0.1783051	1.642237	0.0125096	0.0271495	0.0128858	0.043421	0.0314218	0.00192903	0.0185546	0.0134767	0.033372	0.00527476	0.0226962	0.026947	0.00473978	0.0344908	0.0665123	0.0268926	0.00934038	0.0135651	0.0171137	0.0100448	0.0155543	0.00987956	0.0197555	0.0320511	0.00516786	0.0661041	0.02198	0.000693863	0.0329856	0.0224834	0.0229438	0.0129389	0.0199219	0.0179155	0.00111102	0.0374924	0.000433872	0.0120138	0.0290135	0.0085793	0.0229531	0.00135984	0.02155822	0.04231847	0.0770876	0.00546031	0.558637	0.00720097	0.00903051	0.412791	0.00688036	0.1991099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	38.02469	0.1111678	0.000229237	0.0222713	0.324723	3.65278	0.246483	0.610638	1.05779	2.08509	0.297033	0.309464	0.121972	0.271532	0.2761975	15.9674	2.39547	9.69651	8.6204	37.184	11.2076	0.185051	5.27748	20.8523	7.55595	7.18983	8.19275	21.4222	16.8973	0.7208968
2800	-4132.4	-4158.65	26.2512	17.80196	11.79907	0.1910755	1.550037	0.00991297	0.0651925	0.000559752	0.000729025	0.0410711	0.00626106	0.0100325	0.00727913	0.0222865	0.00335994	0.0285219	0.0117821	0.00354287	0.0414221	0.00342911	0.0104631	0.00503766	0.00346571	0.016452	0.00295107	0.0410018	0.000728138	0.0952901	0.00247178	0.0585502	0.0231082	0.0185481	0.00525439	0.0570357	0.0149301	0.0364189	0.0416091	0.0475765	0.00544581	0.0105638	0.0559394	0.00327642	0.00475804	0.0155767	0.00218246	0.0844105	0.0303683	0.02392901	0.04172259	0.05949833	0.0171637	0.528989	0.00875443	0.00226575	0.427728	0.0150993	0.06044598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	39.28412	0.089871	0.000384753	0.0287908	0.359967	3.61086	0.23295	0.596679	1.05323	2.11714	0.281805	0.300237	0.134414	0.283544	0.1199443	15.9661	2.55092	8.81667	8.27681	37.1828	11.7991	0.169671	4.02935	20.382	7.73199	6.76096	8.0751	22.7855	16.5349	0.5039504
2900	-4111.54	-4148.26	36.7138	29.49323	11.79298	0.1413264	0.4513625	0.02729	0.0267211	0.0158919	0.00311445	0.0150204	0.0147952	0.00335617	0.0061622	0.016925	0.00655644	0.00714931	0.00741648	0.00675245	0.0225407	0.00813808	0.00244926	0.0111741	0.00215018	0.0166821	0.00238433	0.0156638	0.0119385	0.00479088	0.0082406	0.0309301	0.0382218	0.00739617	0.0092113	0.00408932	0.0113289	0.00832335	0.00349824	0.0056745	0.00867044	0.00912839	0.0275293	0.0565824	0.0114246	0.0288529	0.00658912	0.0103993	0.00750635	0.01327438	0.01945439	0.03845204	0.00631439	0.536197	0.00936446	0.0101154	0.434664	0.00334448	0.07714007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	41.97705	0.09967271	3.01407e-05	0.00811977	0.215534	3.77632	0.0247675	0.218983	0.781377	2.97487	0.304559	0.301331	0.120498	0.273612	0.1155921	15.9481	1.80876	9.24187	8.59389	37.0349	11.793	0.202713	5.0155	22.2047	5.2484	6.261	6.00458	22.7047	16.7994	0.6673472
3000	-4119.7	-4146.16	26.4606	18.82275	11.79362	0.1481759	0.9330421	0.0105126	0.00869167	0.00555251	0.00333268	0.0727829	0.000175137	0.00629971	0.00820075	0.0175513	0.00497467	0.0107275	0.0126184	0.0149506	0.0236115	0.0260878	0.0432729	0.0168024	0.00421934	0.0199154	0.0618779	0.0111158	0.0147158	0.0110761	0.00856415	0.00889821	0.0292373	0.0160707	0.0556502	0.00974759	0.0303382	0.00540441	0.0440981	0.00116192	0.0717169	0.0182459	0.0742671	0.0194371	0.0107046	0.00574608	0.00751783	0.0139813	0.00491492	0.01808329	0.03942459	0.0200174	0.00705627	0.569841	0.00513572	0.00259327	0.409841	0.00553319	0.1621573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	42.42193	0.05156705	4.73834e-05	0.0101715	0.236317	3.75346	0.123408	0.455658	0.987954	2.43298	0.289872	0.33237	0.123703	0.254055	0.1821747	15.9657	1.07549	9.66669	8.67111	37.1373	11.7936	0.202713	5.27661	22.3083	7.57484	8.50554	6.33964	22.6737	16.8981	0.8901197
3100	-4126.66	-4151.57	24.9068	31.91173	11.79088	0.1913509	0.6885942	0.00847553	0.00924275	0.0140776	0.0179568	0.00984076	0.0021546	0.0109119	0.00861864	0.0252977	0.00968411	0.00866448	0.0109334	0.0151517	0.0404325	0.00277654	0.000858142	0.0084504	0.00922885	0.0322953	0.0105563	0.0328306	0.0141432	0.0119213	0.0150949	0.00176077	0.00458217	0.00882567	0.00629253	0.135479	0.00727413	0.0191337	0.00659758	0.00189459	0.0251457	0.0122847	0.0176652	0.0244182	0.000270609	0.0102545	0.0188928	0.000955996	0.00106078	0.01381115	0.02632822	0.01099141	0.0158552	0.482864	0.0074634	0.00069389	0.489105	0.00401856	0.2173763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	45.09885	0.06461441	0.000388777	0.0289395	0.36071	3.60996	0.0717538	0.358099	0.920567	2.64958	0.309818	0.280528	0.132578	0.277075	0.2283677	15.9341	2.17274	9.17206	8.04247	36.9956	11.7909	0.202713	5.28614	22.1827	5.11288	6.08084	8.12826	22.787	16.8906	0.9518697
3200	-4136.18	-4156.1	19.913	18.50537	11.52828	0.2142925	1.475136	0.0731428	0.0258178	0.0207464	0.0313104	0.111151	0.00293636	0.00299301	0.0119482	0.0165096	0.00861249	0.0103552	0.00753297	0.000900961	0.0178887	0.00884528	0.0022417	0.0178999	0.038136	0.0142008	0.0121406	0.0353802	0.00924947	0.0655513	0.00123335	0.0212611	0.00145296	0.00477662	0.00479084	0.0143141	0.00953138	0.00548673	0.0132638	0.00907511	0.0189603	0.0211232	0.0472272	0.0105779	0.0567222	0.0068476	0.000550973	0.0356588	0.0349365	0.0202414	0.02659478	0.05365422	0.0148523	0.540903	0.00947205	0.0102725	0.424339	0.000161063	0.1369205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	38.43462	0.1223303	0.000841819	0.0424062	0.419921	3.53683	0.221456	0.584365	1.04893	2.14525	0.281982	0.307008	0.136077	0.274933	0.1905748	15.9464	0.669085	8.12405	8.622	37.1967	11.5283	0.202713	4.3909	22.6612	7.7093	7.93754	5.9498	16.7312	16.8741	0.718461
3300	-4131.24	-4145.42	14.1818	22.86201	11.77309	0.1792853	1.099228	0.0668572	0.0279566	0.00749406	0.0779644	0.0160907	0.00374782	0.0199581	0.0124302	0.0308184	0.0180241	0.020924	0.0312816	0.0605917	0.0497299	0.00803615	0.053478	0.000874001	0.000885457	0.0395636	0.0211559	0.0138218	0.0213129	0.0384753	0.0220432	0.000307512	0.00959367	0.014367	0.000896012	0.0322542	0.00562526	0.0119308	0.000546875	0.0389506	0.0169763	0.000307932	0.050071	0.0356322	0.0206102	0.0150824	0.00748456	0.0105395	0.00616652	0.0249883	0.03739436	-0.1047177	0.0131954	0.471999	0.0101591	0.0183966	0.485954	0.00029557	0.3432017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	44.248	0.07552857	0.000239159	0.0227445	0.327482	3.64953	0.156317	0.504672	1.01468	2.32434	0.296266	0.299294	0.142165	0.262275	0.2384839	15.6209	1.41262	9.41968	8.66873	36.9601	11.7731	0.090494	5.22395	20.6334	7.74296	8.09496	6.42956	17.5119	16.6327	1.439098
3400	-4109.45	-4144.16	34.7194	19.6319	11.5876	0.1676719	0.9539105	0.0186071	0.0271365	0.00823782	0.012491	0.0191871	0.0233777	0.0228176	0.000671619	0.0280831	0.00736104	0.0225855	0.025038	0.0095339	0.0412086	0.0587063	0.0463476	0.00487461	0.0258508	0.0124951	0.0279282	0.0388044	0.0226538	0.0196424	0.0170771	0.0120734	0.00652266	0.00134055	0.0285245	0.0102137	0.0258751	0.021006	0.00114103	0.0185824	0.00969941	0.00262392	0.0184964	0.00114923	0.00776687	0.0132757	0.0277322	0.0030863	0.0256117	0.02274652	0.04139708	0.041479	0.0056757	0.521141	0.012312	0.0021216	0.449363	0.00938632	0.1696502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	37.72084	0.1567823	0.000140223	0.0174481	0.294264	3.68815	0.127668	0.462446	0.991923	2.41796	0.290632	0.316691	0.124151	0.268525	0.2111292	15.9612	1.52879	9.69094	8.57216	37.1945	11.5876	0.227753	5.22146	20.4014	5.80216	9.60956	7.6017	22.7586	16.8666	0.8035373
3500	-4118.02	-4147.12	29.1008	31.08274	11.71126	0.2140523	0.682743	0.0229243	0.0172337	0.041537	0.0262743	0.0109163	0.0132648	0.00455398	0.0114332	0.0408763	0.00496746	0.0187941	0.0176671	0.00401311	0.0422394	0.0438374	0.00819527	0.00477013	0.0313074	0.0450306	0.0142222	0.0697686	0.018893	0.00492428	0.00243819	0.0170499	0.00648916	0.00230324	0.0120313	0.0793974	0.00465511	0.0354496	0.00953917	0.0230535	0.0167699	0.000641321	0.0427303	0.0195796	0.000198066	0.0222037	0.016184	0.0149229	0.000860259	0.02100691	0.02802661	0.001188397	0.0201657	0.520389	0.00613357	0.0118936	0.436412	0.00500617	0.1351692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	40.82058	0.1025538	0.000835755	0.0422551	0.419329	3.53758	0.0705066	0.355273	0.918302	2.65592	0.275411	0.32515	0.131895	0.267544	0.1363576	15.9699	0.878545	9.63028	8.16466	37.1224	11.7113	0.134292	5.29578	21.8756	5.8198	9.69966	7.11141	22.4729	16.8666	0.9912847
3600	-4123.82	-4142.9	19.0824	31.97466	11.77644	0.1586959	1.116288	0.00986552	0.0534429	0.051046	0.0307915	0.0129604	0.00541218	0.0145954	0.00557255	0.0282221	0.00377113	0.0108808	0.0212009	0.00351044	0.0354679	0.0650477	0.00899404	0.0178397	0.00152973	0.0145145	0.0252636	0.0100071	0.0390081	0.0145504	0.00867328	0.0495173	0.0182282	0.00953363	0.0195243	0.016985	0.000649193	0.0128149	0.00967658	0.00664086	0.0279993	0.00898939	0.0285343	0.00563681	0.0342226	0.00741742	0.00664024	0.00751409	0.0177028	0.01755658	0.02693679	-0.00720346	0.00982211	0.489771	0.0110362	0.00410171	0.474602	0.0106669	0.09120875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	38.01573	0.05124963	8.79617e-05	0.013838	0.267871	3.7182	0.159555	0.509116	1.01688	2.31445	0.304046	0.309461	0.134031	0.252462	0.08400529	13.9901	2.18927	9.67854	8.64979	37.1575	11.7764	0.111448	5.15294	21.8756	6.75015	8.31967	7.36988	22.0755	16.8903	1.08575
3700	-4137.93	-4152.62	14.6932	29.94895	11.75594	0.1634619	0.7757262	0.0047525	0.0103351	0.0196134	0.0225643	0.0130958	0.0454498	0.0216632	0.00449854	0.0322764	0.00700304	0.0342283	0.0282255	0.0277622	0.0224551	0.0274613	0.00996952	0.0359762	0.00651403	0.0157525	0.00938964	0.0119353	0.04753	0.00625276	0.00764577	0.0132818	0.0286197	0.0227636	0.00043695	0.0138417	0.000937561	0.020638	0.00866747	0.0169506	0.00510127	0.0148548	0.0144633	0.0077622	0.0329913	0.0219737	0.00319725	0.00378625	0.0170949	0.01697951	0.01998568	-0.005212723	0.0133376	0.517323	0.0132755	0.00402806	0.448699	0.00333659	0.1937105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	47.22464	0.03318882	0.000113398	0.0157008	0.281955	3.70223	0.090384	0.397174	0.949995	2.56245	0.273649	0.305919	0.146847	0.273586	0.1884977	14.5088	1.11818	9.6198	8.30128	37.1707	11.7559	0.108268	1.82675	22.4866	6.69923	6.93049	8.19405	22.7493	16.8581	1.027654
3800	-4122.38	-4153.29	30.9092	23.66937	11.75972	0.1898637	0.9148575	0.0466665	0.0321149	0.00167668	0.00627473	0.00549878	0.00103898	0.00736972	0.00898843	0.0194601	0.00488481	0.0173837	0.0122839	0.00752636	0.0156196	0.028939	0.00493007	0.00632578	0.00153201	0.0266394	0.0079667	0.00139546	0.0110694	0.0866355	0.00146944	0.0171949	0.0165457	0.0056322	0.00907559	0.0915891	0.00919068	0.0123228	0.00128986	0.0148606	0.019044	0.0018793	0.0379861	0.0264438	0.00473985	0.0108596	0.0209716	0.0249989	0.0178942	0.01666142	0.02989101	0.03607626	0.019555	0.481283	0.00714824	0.00606115	0.480106	0.00584615	0.06550136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	46.56652	0.091678	0.000367404	0.0281401	0.356689	3.6148	0.119668	0.449574	0.984323	2.44643	0.301429	0.299733	0.156861	0.241976	0.1015776	15.9474	2.0749	5.83264	8.52959	37.1965	11.7597	0.168211	5.26453	21.7908	7.70941	8.32696	6.2535	18.1466	16.8311	0.6448404
3900	-4114.61	-4143.84	29.2375	38.37067	11.7957	0.1492689	0.9862291	0.0054226	0.0291154	0.027329	0.00618639	0.0388514	0.00912506	0.00949555	0.00411927	0.0175251	0.00353814	0.0101675	0.0129318	0.0302822	0.0260398	0.0408933	0.00822539	0.0112844	0.0170382	0.0203707	0.0253939	0.0251364	0.025602	0.0164315	0.0196776	0.0369697	0.00301358	0.00611619	0.00154392	0.00285214	0.00263067	0.0300003	0.00832202	0.00613721	0.0253748	0.0139767	0.0556389	0.0123075	0.00227661	0.0213471	0.0117423	0.0188757	0.04536	0.01829312	0.03372931	0.03430656	0.0123044	0.503034	0.00261334	0.00691719	0.455975	0.0191566	0.1288298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	41.64072	0.04782369	5.0735e-05	0.0105235	0.23962	3.74981	0.134198	0.472573	0.99768	2.39555	0.297395	0.299348	0.141742	0.261516	0.1631363	15.9612	1.83153	8.62662	8.66607	36.9279	11.7957	0.195168	5.11471	22.6247	5.01694	9.62339	7.8556	22.4422	16.8764	0.7897062
4000	-4131.35	-4145.74	14.3899	26.78034	11.79829	0.1654866	1.075713	0.0403832	0.0164632	0.0485148	0.0219653	0.00132263	0.0160672	0.017022	0.00886447	0.0463675	0.0129548	0.0234124	0.0177438	0.0270183	0.0782564	0.0147768	0.0423604	0.00447039	0.0292431	0.0149664	0.0228058	0.00164187	0.00820021	0.0320744	0.015625	0.0177104	0.0117813	0.00836933	0.00851206	0.00463934	0.00593692	0.0198081	0.00916608	0.0248199	0.0118519	0.0128449	0.0719663	0.0507875	0.0271909	0.0546208	0.0769522	0.0515826	0.0294352	0.02550154	0.03787418	0.01629576	0.012495	0.445552	0.00174963	0.00144864	0.537597	0.00115771	0.1305058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	42.81015	0.04394275	0.000125759	0.0165293	0.287891	3.69545	0.151808	0.498383	1.01149	2.33831	0.305934	0.313255	0.128641	0.25217	0.1468016	15.6566	2.24024	9.67843	8.55606	37.1903	11.7983	0.23971	4.72808	22.3294	7.74085	8.00347	5.95607	22.7912	16.8613	0.8889947
4100	-4137.79	-4149.14	11.3524	16.74368	11.79	0.1436656	1.239548	0.0626441	0.0271211	0.00758572	0.019376	0.0535246	0.038612	0.0190102	0.00966574	0.0268021	0.00810375	0.0217365	0.0224072	0.0014313	0.0336672	0.0254561	0.00232451	0.0115137	0.0265358	0.025041	0.0326768	0.0531303	0.0589169	0.0105943	0.0464291	0.032565	0.00525249	0.0125807	0.0748142	0.0415167	0.000600055	0.0377456	0.00412269	0.0185011	0.0795377	0.0626015	0.0398231	0.00691303	0.0162109	0.0518519	0.0441313	0.0136588	0.016995	0.02620229	0.03006058	0.04349755	0.0048452	0.465761	0.00947111	0.00545117	0.510191	0.00428029	0.106175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	39.29223	0.1229058	3.53478e-05	0.00879055	0.222646	3.76853	0.182147	0.538561	1.0306	2.24869	0.304323	0.318229	0.107598	0.26985	0.1496725	15.9602	2.12369	9.58155	8.22288	37.1863	11.79	0.172778	5.24923	22.6091	5.19178	6.55646	7.09681	22.6273	16.8566	0.7093819
4200	-4126.62	-4149.24	22.6209	13.70517	11.73452	0.1854313	1.263132	0.00602735	0.0263903	0.0591916	0.0345219	0.0348346	0.015502	0.0129647	0.0109367	0.0296499	0.0146172	0.0255262	0.0271035	0.000692025	0.060608	0.0209327	0.00126485	0.00599675	0.00602873	0.0319947	0.00294727	0.00673234	0.00874387	0.0617298	0.0256883	0.0257776	0.0252064	0.0129867	0.000860124	0.0358486	0.0090314	0.0359198	0.00600096	0.00950416	0.0148799	0.0232209	0.0902318	0.00397075	0.011454	0.0157653	0.0309752	0.10023	0.0433127	0.02396627	0.06190068	0.06876457	0.0101864	0.575865	0.00905094	0.00711533	0.386012	0.01177	0.231436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	41.64855	0.05034957	0.000308755	0.0258162	0.34458	3.6293	0.186308	0.543712	1.03285	2.23713	0.295026	0.28375	0.139091	0.282133	0.3002006	15.9016	2.51984	9.69179	8.6263	36.9396	11.7345	0.202452	4.14265	22.3222	7.64959	9.69243	7.08718	22.7402	16.6384	0.7709379
4300	-4146.07	-4154.84	8.76703	14.71273	11.79775	0.1626809	0.1578592	0.0454482	0.0176816	0.00241031	0.036348	0.0789145	0.00230879	0.0279144	0.0155248	0.0355128	0.0185008	0.0270275	0.0332939	0.0292496	0.0554851	0.0214492	0.00861873	0.00603568	0.00382677	0.0582972	0.0143978	0.016269	0.00929338	0.00983795	0.011331	0.0525577	0.100284	0.0291901	0.0447191	0.18044	0.00666494	0.0252396	0.0822157	0.0682258	0.0610614	0.0811443	0.0631719	0.0180431	0.0399215	0.0170679	0.00877804	0.0628416	0.0113654	0.04203685	0.01171634	0.1026566	0.010302	0.562494	0.0104935	0.0104642	0.405617	0.000630147	0.1290714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	38.13569	0.1318079	0.000108886	0.0153871	0.279658	3.70485	8.39926e-05	0.0135239	0.265383	3.72101	0.284392	0.326993	0.141759	0.246856	0.231728	15.9692	2.52753	6.96259	8.62725	37.1967	11.7977	0.148751	5.17083	22.7539	7.35967	7.64765	8.19967	22.5596	16.7344	0.5569953
