"","MSW05_Order","MSW05_Family","MSW05_Genus","MSW05_Species","MSW05_Binomial","X1.1_ActivityCycle","X5.1_AdultBodyMass_g","X8.1_AdultForearmLen_mm","X13.1_AdultHeadBodyLen_mm","X2.1_AgeatEyeOpening_d","X3.1_AgeatFirstBirth_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X6.1_DietBreadth","X7.1_DispersalAge_d","X9.1_GestationLen_d","X12.1_HabitatBreadth","X22.1_HomeRange_km2","X22.2_HomeRange_Indiv_km2","X14.1_InterbirthInterval_d","X15.1_LitterSize","X16.1_LittersPerYear","X17.1_MaxLongevity_m","X5.3_NeonateBodyMass_g","X13.2_NeonateHeadBodyLen_mm","X21.1_PopulationDensity_n.km2","X10.1_PopulationGrpSize","X23.1_SexualMaturityAge_d","X10.2_SocialGrpSize","X24.1_TeatNumber","X12.2_Terrestriality","X6.2_TrophicLevel","X25.1_WeaningAge_d","X5.4_WeaningBodyMass_g","X13.3_WeaningHeadBodyLen_mm","References","X5.5_AdultBodyMass_g_EXT","X16.2_LittersPerYear_EXT","X5.6_NeonateBodyMass_g_EXT","X5.7_WeaningBodyMass_g_EXT","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm"
"2240","Primates","Cercopithecidae","Macaca","fuscata","Macaca fuscata",3,10114.76,-999,826.71,-999,1879.75,-999,-999,5,-999,172.99,2,1.43,-999,486.66,1.02,1,396,501.57,-999,30.19,-999,1460.77,40.65,-999,2,2,265.04,2250.7,-999,"208;543;1015;1297;1544;1547;1611;1763;1767;1848;2142;2338;2344;2489;2493;2655;2660;2986;3064",-999,-999,-999,-999,177385.93,41.54,30.22,35.88,141.47,129.55,135.51,74,327.86,105,0.00776042696904679,147.66,102.22,792.57,842.46
"2241","Primates","Cercopithecidae","Macaca","hecki","Macaca hecki",3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1544",-999,-999,-999,-999,21888.19,1.35,-0.06,0.64,122.98,119.77,121.37,42,64.84,42,0.08,221.77,218.66,-999,-999
"2242","Primates","Cercopithecidae","Macaca","leonina","Macaca leonina",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"-999",-999,-999,-999,-999,731087.52,27.19,8,17.59,109.3,93.07,101.18,1,132.47,6,0.08,168.16,230.04,1142.31,1521.77
"2243","Primates","Cercopithecidae","Macaca","maura","Macaca maura",3,7290.3,-999,660,-999,1825,-999,-999,-999,-999,167.19,-999,-999,-999,669.16,1.01,-999,-999,388.46,-999,20,-999,-999,-999,-999,-999,-999,497.16,-999,-999,"1544;1547;1848;1903;2151;2344;2655;2660;2986",-999,0.81,-999,-999,13648.67,-4.25,-5.7,-4.98,120.46,119.35,119.9,163,390.54,163,0.02,231.33,237.5,-999,-999
"2244","Primates","Cercopithecidae","Macaca","mulatta","Macaca mulatta",3,6455.19,-999,555,-999,1460,2239,6225,1,-999,166.07,-999,5.91,-999,385.5,1.01,1,432,471.47,-999,11.1,48.9,1101.07,38.5,-999,-999,1,304.16,1314.91,-999,"208;543;730;1127;1167;1297;1347;1544;1547;1577;1594;1611;1763;1767;1848;1979;2338;2344;2489;2493;2620;2655;2660;2986",-999,-999,-999,-999,6566547.23,36.45,13.69,25.07,122.13,71.21,96.67,0,241.88,4,0.08,117.36,168.8,902.19,1218.04
"2245","Primates","Cercopithecidae","Macaca","nemestrina","Macaca nemestrina",3,7820.78,-999,535,-999,1430.8,-999,-999,2,-999,171,-999,1.75,-999,405.07,1.01,-999,411.6,472.92,-999,18.92,-999,1427.17,22.6,-999,-999,1,292.6,1367.39,-999,"208;543;730;1297;1544;1547;1577;1763;1767;1848;1979;2151;2344;2489;2493;2655;2660;2986;3086",-999,1.04,-999,-999,1033482.91,10.98,-4.89,3.04,119.26,96.87,108.07,1,67.59,4,0.15,244.98,246.69,1680.5,1732.21
"2246","Primates","Cercopithecidae","Macaca","nigra","Macaca nigra",3,7359.39,-999,549.99,-999,1996.55,-999,-999,1,-999,172.43,-999,-999,-999,540.2,1.01,-999,216,457.77,-999,55.63,-999,1984.51,35,-999,-999,1,365,-999,-999,"208;730;1297;1544;1547;1848;2151;2344;2486;2489;2493;2655;2660;2986",-999,0.9,-999,-999,13015.44,1.75,0.27,1.01,125.24,123.28,124.26,48,149.58,48,0.04,230.8,225.39,-999,-999
"2247","Primates","Cercopithecidae","Macaca","nigrescens","Macaca nigrescens",3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,14.5,-999,-999,-999,-999,-999,-999,"927;1544",-999,-999,-999,-999,7280.48,0.96,0.27,0.61,124.08,122.9,123.49,48,89.14,48,0.06,231.2,226.8,-999,-999
"2248","Primates","Cercopithecidae","Macaca","ochreata","Macaca ochreata",3,2745.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1544;1547;2151;2655",-999,-999,-999,-999,19033.57,-3.7,-5.7,-4.7,123.22,121.07,122.15,32,45.52,32,0.06,244.11,237.65,-999,-999
"2249","Primates","Cercopithecidae","Macaca","pagensis","Macaca pagensis",3,4534.66,-999,450,-999,-999,-999,-999,4,-999,-999,1,-999,-999,-999,1,-999,360,-999,-999,-999,-999,1227.12,-999,-999,2,2,272.2,-999,-999,"1015;1544",-999,-999,-999,-999,2155.21,-2.02,-3.34,-2.68,100.47,99.51,99.99,43,60.75,43,0.25,-999,-999,-999,-999
