"","X","MSW05_Order","MSW05_Family","MSW05_Genus","MSW05_Species","MSW05_Binomial","X1.1_ActivityCycle","X5.1_AdultBodyMass_g","X8.1_AdultForearmLen_mm","X13.1_AdultHeadBodyLen_mm","X2.1_AgeatEyeOpening_d","X3.1_AgeatFirstBirth_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X6.1_DietBreadth","X7.1_DispersalAge_d","X9.1_GestationLen_d","X12.1_HabitatBreadth","X22.1_HomeRange_km2","X22.2_HomeRange_Indiv_km2","X14.1_InterbirthInterval_d","X15.1_LitterSize","X16.1_LittersPerYear","X17.1_MaxLongevity_m","X5.3_NeonateBodyMass_g","X13.2_NeonateHeadBodyLen_mm","X21.1_PopulationDensity_n.km2","X10.1_PopulationGrpSize","X23.1_SexualMaturityAge_d","X10.2_SocialGrpSize","X24.1_TeatNumber","X12.2_Terrestriality","X6.2_TrophicLevel","X25.1_WeaningAge_d","X5.4_WeaningBodyMass_g","X13.3_WeaningHeadBodyLen_mm","References","X5.5_AdultBodyMass_g_EXT","X16.2_LittersPerYear_EXT","X5.6_NeonateBodyMass_g_EXT","X5.7_WeaningBodyMass_g_EXT","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm"
"Rattus_giluwensis","4055","Rodentia","Muridae","Rattus","giluwensis","Rattus giluwensis","-999","-999.00","-999"," 150.55","-999.00","-999.00","-999.00","-999.00","   2","-999.00","-999.00","   1","-9.990000e+02","-9.990000e+02","-999.00","-999.00","-999.00","-999.0","-999.00","-999.00"," -999.00","-999.0","-999.00","-999.00","   8","   1","   1","-999.00","-999.00","-999.00","977"," 101.11","-999.00","-999","-999.00","    2997.83","-5.620000e+00","  -6.20","  -5.91"," 144.15"," 143.59"," 143.87","  15","  25.75","  15.0"," 1.200000e-01"," 433.98"," 114.74","1596.99","1596.99"
"Rattus_leucopus","4062","Rodentia","Muridae","Rattus","leucopus","Rattus leucopus","   1"," 200.89","-999"," 189.68","-999.00"," 141.33","-999.00","-999.00","   4","-999.00","-999.00","   2","-9.990000e+02","-9.990000e+02","-999.00","   3.45","-999.00","-999.0","-999.00","-999.00"," -999.00","-999.0"," 102.07","-999.00","   6","   1","   2","-999.00","-999.00"," 158.83","456;977;1297;1780;2655;2803","-999.00","-999.00","-999"," 105.19","  362571.26","-4.100000e+00"," -19.45"," -11.78"," 150.87"," 134.20"," 142.54","   0","   6.10","   0.0"," 1.300000e-01"," 223.09"," 239.38","1487.74","1686.60"
"Rattus_norvegicus","4076","Rodentia","Muridae","Rattus","norvegicus","Rattus norvegicus","-999"," 282.89","-999","-999.00","-999.00","  91.25","-999.00","-999.00","   1","-999.00","  21.74","   2"," 2.927936e-03"," 2.525651e-03","-999.00","   8.99","   3.50","-999.0","   5.80","  52.00"," -999.00","-999.0","  55.23","-999.00","-999","   1","   1","  25.37","  53.07","-999.00","515;890;1115;1297;1577;1594;2151;2655;2747;2978","-999.00","-999.00","-999","-999.00","    -999.00","-9.990000e+02","-999.00","-999.00","-999.00","-999.00","-999.00","-999","-999.00","-999.0","-9.990000e+02","-999.00","-999.00","-999.00","-999.00"
"Rattus_novaeguineae","4077","Rodentia","Muridae","Rattus","novaeguineae","Rattus novaeguineae","-999"," 133.00","-999"," 177.68","-999.00","-999.00","-999.00","-999.00","-999","-999.00","-999.00","   1","-9.990000e+02","-9.990000e+02","-999.00","   5.37","-999.00","-999.0","-999.00","-999.00"," -999.00","-999.0","-999.00","-999.00","   8","   1","-999","-999.00","-999.00","-999.00","977;2655","-999.00","-999.00","-999","-999.00","   29467.48","-6.110000e+00","  -8.05","  -7.08"," 147.65"," 144.55"," 146.10","   2","  15.00","   2.5"," 8.000000e-02"," 319.33"," 175.93","1679.49","1709.23"
"Rattus_praetor","4083","Rodentia","Muridae","Rattus","praetor","Rattus praetor","-999"," 194.43","-999"," 195.70","-999.00","-999.00","-999.00","-999.00","-999","-999.00","-999.00","   1","-9.990000e+02","-9.990000e+02","-999.00","   4.37","-999.00","-999.0","-999.00","-999.00"," -999.00","-999.0","-999.00","-999.00","   8","   1","-999","-999.00","-999.00","-999.00","977;1297;2655;2803","-999.00","-999.00","-999","-999.00","  288915.89"," 4.000000e-02","  -9.94","  -4.95"," 160.83"," 129.27"," 145.05","   2","   8.04","   2.0"," 1.500000e-01"," 215.06"," 248.31","1718.31","1756.50"
"Rattus_rattus","4086","Rodentia","Muridae","Rattus","rattus","Rattus rattus","-999"," 142.68","-999"," 201.99","  14.00"," 143.14","-999.00","-999.00","   5","-999.00","  23.45","   2"," 2.317950e-03"," 1.999474e-03","  31.25","   5.88","   3.75","  50.4","   4.53","  42.42"," 2640.54","-999.0"," 115.29","-999.00","-999","   2","   2","  28.00","  37.01","-999.00","71;456;543;679;730;1297;1306;1577;1587;2088;2151;2363;2655;2723;2747;2792;2808;3054","-999.00","-999.00","-999","-999.00","    -999.00","-9.990000e+02","-999.00","-999.00","-999.00","-999.00","-999.00","-999","-999.00","-999.0","-9.990000e+02","-999.00","-999.00","-999.00","-999.00"
"Rattus_sordidus","4092","Rodentia","Muridae","Rattus","sordidus","Rattus sordidus","-999"," 157.50","-999"," 159.67","-999.00","  77.00"," 106.59"," 187.00","-999","-999.00","  21.89","-999","-9.990000e+02","-9.990000e+02","  28.50","   5.99","-999.00","-999.0","   3.00","-999.00"," -999.00","-999.0","  51.28","-999.00","  12","-999","-999","-999.00","-999.00"," 131.90","456;977;1009;1297;1575;1822;2655;2803","-999.00","   4.00","-999","  65.53","  467956.71","-5.510000e+00"," -27.73"," -16.62"," 153.54"," 140.14"," 146.84","   0","   7.53","   0.0"," 1.000000e-01"," 132.05"," 233.20","1059.60","1615.69"
"Rattus_tiomanicus","4098","Rodentia","Muridae","Rattus","tiomanicus","Rattus tiomanicus","-999"," 119.29","-999"," 190.00","-999.00","-999.00","-999.00","-999.00","   4","-999.00","  21.99","   1","-9.990000e+02","-9.990000e+02","-999.00","   3.87","-999.00","-999.0","   4.10","-999.00"," 4912.07","-999.0","-999.00","-999.00","-999","   1","   2","-999.00","-999.00","-999.00","456;679;730;1297;2152;2655","-999.00","-999.00","-999","-999.00"," 1516498.44"," 1.142000e+01","  -8.96","   1.23"," 119.71","  95.18"," 107.45","   1"," 150.22","   4.0"," 1.400000e-01"," 237.71"," 248.63","1664.86","1740.31"
"Rattus_verecundus","4101","Rodentia","Muridae","Rattus","verecundus","Rattus verecundus","   3","  97.02","-999"," 142.51","-999.00","-999.00","-999.00","-999.00","   3","-999.00","  23.72","   2"," 1.058952e-03"," 1.500000e-03","-999.00","   2.15","-999.00","-999.0","-999.00","-999.00"," -999.00","-999.0","-999.00","-999.00","   6","   1","   2","  19.50","-999.00","-999.00","606;661;977;1297;2152;2655;2803;3085","-999.00","-999.00","-999","-999.00","  246219.16","-1.260000e+00"," -10.70","  -5.98"," 150.87"," 133.93"," 142.40","   1","  10.15","   2.0"," 1.100000e-01"," 286.43"," 212.30","1673.74","1701.93"
"Rattus_villosissimus","4102","Rodentia","Muridae","Rattus","villosissimus","Rattus villosissimus","-999"," 221.76","-999"," 186.64","-999.00","-999.00"," 145.84"," 250.60","-999","-999.00","-999.00","-999","-9.990000e+02","-9.990000e+02","-999.00","-999.00","-999.00","-999.0","-999.00","-999.00"," 2967.34","-999.0","-999.00","-999.00","  12","-999","-999","-999.00","-999.00","-999.00","456;730;1822;2655;2803","-999.00","-999.00","-999","-999.00"," 1853722.51","-1.405000e+01"," -28.66"," -21.35"," 145.84"," 123.42"," 134.63","   0","   0.03","   0.0"," 1.000000e-02","  35.29"," 238.05"," 455.63","1542.79"
